Id,Name,Rating,Current Price,Original Price,Discount,Features,,,
0,CARRIER 1 Ton 3 Star Split Inverter AC,3.9,"29,990","56,990",47%,"Annual Power Usage: 704.46 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
1,CARRIER 2024 Model AI Flexicool Convertible 6,4.2,"41,990","76,090",44%,"Annual Power Usage: 754.05 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Extended Warranty on PCB and 10 Years Warranty on Compressor",,,
2,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4,4.1,"28,490","50,999",44%,Annual Power Usage: 952.69 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
3,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4,4.1,"31,490","59,999",47%,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
4,IFB AI Convertible 8,3.8,"34,990","62,990",44%,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
5,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter,4.1,"36,990","58,400",36%,Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),,,
6,Voltas 1.5 Ton 3 Star Split Inverter AC,3.9,"32,990","62,990",47%,Annual Power Usage: 975.26 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
7,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter,4.1,"45,490","67,200",32%,"Annual Power Usage: 785.67 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB (Printed Circuit Board) and 10 Years on Compressor",,,
8,Voltas 1.5 Ton 5 Star Split Inverter AC,3.9,"38,990","75,990",48%,Annual Power Usage: 751.28 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,,,
9,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi,4.1,"36,990","55,400",33%,"Annual Power Usage: 1002.31 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",,,
